gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001097,ACMTA,004616207,0000002062,P,02,LC,11647,47,1994-10-01,2004-12-03
001097,ACMTA,004616207,0000002062,P,01,LC,10664,47,1972-12-14,1994-09-30
001097,ACMTA,004616207,0000002062,J,02,LC,11647,47,1987-09-30,1994-09-30
001098,AMT.1,004626107,0000869676,C,01,LC,10057,20020,1968-01-01,1996-07-02
001099,ACEE,004644100,0000002070,P,01,LC,63837,156,1972-12-14,2000-11-30
001100,ACME.,004671103,0000002075,P,01,LC,10672,46,1972-12-14,1985-06-28
001101,1438B,004680104,,P,01,LU,28679,23562,1973-01-31,1978-01-31
001103,5848B,004770103,,C,01,LU,28695,23564,1966-01-31,1988-07-13
001104,ACU,004816104,0000002098,P,01,LU,60038,370,1972-12-14,E
001106,ACRQE,004898102,0000079397,C,01,LU,10699,5193,1982-01-28,1986-10-31
001108,PRHD,741885107,,C,01,LC,51510,20021,1970-11-11,1996-10-18
001109,AHIXD,022167308,0000747435,C,01,LC,85084,7338,1986-09-22,2009-04-24
001109,AHIXD,022167308,0000747435,C,01,LC,85084,7338,1984-12-12,1985-12-26
001111,ATVI.1,004930202,,C,02,LC,79678,12499,1993-10-22,2008-07-09
001111,ATVI.1,004930202,,C,02,LC,10701,6060,1985-05-31,1991-03-28
001111,ATVI.1,004930202,,C,00X,LC,10701,6060,1983-06-09,1985-05-30
001112,ACTM.,005049101,0000730066,P,01,LU,10720,6611,1983-11-22,1989-07-31
001113,ATN.1,00599Y300,,C,01,LC,43967,20022,1966-11-22,1988-04-29
001114,ACSH,005086103,0000002166,P,01,LC,10728,53,1972-12-14,1976-05-28
001115,ADAC.,005313200,0000313798,P,01,LU,10752,58,1979-12-05,2000-12-29
001117,BKTI,05587G203,0000002186,P,02,LC,10779,65,2005-10-14,E
001117,BKTI,05587G203,0000002186,P,02,LC,10779,65,1978-10-03,2003-05-07
001118,ADG.1,006203103,,P,01,LU,57306,25563,1972-12-20,1984-11-30
001119,ADX,006212104,0000002230,P,01,LU,10065,20023,1982-01-29,E
001119,ADX,006212104,0000002230,C,00X,LU,10065,20023,1982-01-01,1982-01-28
001120,ALL.2,006284103,,C,00X,LU,17224,22757,1950-01-01,1962-01-30
001120,ALL.2,006284103,,P,01,LU,17224,22757,1962-01-31,1988-10-31
001121,AE,006351308,0000002178,P,01,LU,61487,59,1975-02-07,E
001122,AAR.1,006356109,,P,01,LC,47650,24955,1969-02-05,1987-12-31
001123,ADCR,006511109,0000742808,C,01,LU,85105,7521,1985-04-29,1986-12-19
001124,ADSNB,006680201,,P,01,LU,10787,73,1972-12-14,1988-03-24
001125,4304B,006688105,0000730347,P,01,LU,10795,7002,1984-04-26,1985-08-30
001126,ADDC,006698203,0000002308,C,01,LU,10808,62,1978-01-31,1990-06-19
001126,ADDC,006698203,0000002308,C,00X,LU,10808,62,1973-06-01,1978-01-30
001128,ADIA.,006874101,0000752200,P,01,LU,85113,7245,1984-10-02,1995-01-31
001129,AFSI.1,006901102,0000355565,P,01,LU,10816,5232,1981-12-10,1983-08-31
001130,5710B,006902100,0000714420,C,01,LU,10824,7087,1984-06-15,1987-06-10
001131,ADLY,007086101,0000002369,P,01,LU,10832,22229,1972-12-14,1973-07-31
001133,ADL.1,007158108,0000002387,C,00X,LU,22488,23147,1950-01-01,1962-01-30
001133,ADL.1,007158108,0000002387,P,01,LU,22488,23147,1962-01-31,1974-04-30
001134,ADBEA,007235104,0000002408,P,01,LC,10859,60,1978-01-31,1978-10-03
001134,ADBEA,007235104,0000002408,C,00X,LC,10859,60,1973-01-01,1978-01-30
001135,AOI.1,007239106,0001076034,P,01,LU,57461,25571,1973-11-26,1985-11-29
001137,ADVC.,007383102,,P,01,LU,10867,76,1980-12-05,1995-10-31
001138,AROS.,00750D103,0000002457,P,01,LU,10875,347,1972-12-14,1996-01-31
001139,ACTC.,007509102,0000002463,C,00X,LU,10891,54,1973-02-01,1978-01-30
001139,ACTC.,007509102,0000002463,P,01,LU,10891,54,1978-01-31,1981-08-31
001140,5022B,007510100,0000724899,C,01,LU,10904,6815,1984-01-26,1986-10-27
001141,AVCD,007518103,0000002467,C,00X,LU,10912,55,1973-04-01,1978-01-30
001141,AVCD,007518103,0000002467,C,01,LU,10912,55,1978-01-31,1991-07-03
001142,5119B,00753L102,0000320179,P,01,LU,46624,2454,1982-01-29,1986-09-30
001143,3AVEG,00753M100,0000740966,P,01,LU,78523,27331,1984-05-10,1985-03-29
001145,ASY.2,007547102,,P,01,LU,65840,78,1980-07-31,1987-12-31
001145,ASY.2,007547102,,C,00X,LU,65840,78,1976-11-01,1980-07-30
001146,ADVNQ.,007551104,0000002506,P,01,LU,10971,77,1972-12-14,1981-04-14
001147,AUNL,007557101,0000002517,P,01,LU,10990,410,1979-01-31,1987-10-23
001148,ADV.2,007566102,0000319489,P,01,LU,64514,420,1980-11-21,2001-02-28
001150,AO.1,007603103,0000002552,P,01,LU,28716,23566,1966-04-29,1984-11-30
001151,AQTN,007631104,0000736970,P,01,LU,10998,6943,1984-03-22,1996-12-31
001153,AER.2,007680101,,P,01,LU,28724,23567,1962-07-02,1983-01-31
001154,AERS.,007692106,0000002589,P,01,LU,85164,7538,1985-05-10,2003-12-23
001155,AESM,007698103,0000002590,C,01,LU,11010,87,1975-06-30,1993-07-30
001156,AOX.1,007752108,0000002597,P,01,LU,46973,24915,1968-10-17,1975-06-30
001157,AJT,007788102,0000002602,P,01,LU,28732,23568,1962-07-02,1972-10-31
001159,ARN.2,007842107,0000002611,P,01,LU,28740,23569,1966-01-31,1986-09-05
001161,AMD,007903107,0000002488,P,01,LU,61241,211,1972-12-14,E
001162,ADLA,007905102,,P,01,LU,11026,68,1978-10-06,1985-11-29
001163,3ADNME,007910102,0000315698,C,01,LU,11034,245,1982-01-29,1988-03-21
001164,MCIP,552691107,0000723527,P,01,LC,11042,61,1980-11-24,1986-07-28
001164,MCIP,552691107,0000723527,P,01,LC,11042,61,1986-08-22,2002-07-29
001164,MCIP,552691107,0000723527,P,10,LC,90284,45424,2004-07-14,2006-01-06
001165,BFTC,055413108,0000350200,C,01,LC,11069,85,1981-04-14,1988-04-27
001166,ASMIY,N07045102,0000351483,P,90,LC,11077,374,1981-05-12,2015-08-20
001167,AVNT.1,007915101,0000355004,P,01,LU,11085,5260,1982-01-04,1982-10-29
001169,AGSI.,007920101,,P,01,LC,11114,6414,1983-09-22,1988-11-22
001170,ATEL.,00799Y100,,P,01,LC,11149,6737,1984-01-31,1985-07-30
001170,ATEL.,00799Y100,,C,00X,LC,11149,6737,1983-12-21,1984-01-30
001171,ATEL.1,007923105,0000729647,P,01,LC,11149,6737,1985-07-31,1992-12-04
